ObjectId	CatalogType	OfficialSource	TargetFile
AbathurDeepTunnel	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurDeepTunnelImproved	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurSymbioteHangerBrutalisk	CAbilArmMagazine	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AbathurSymbioteHangerLeviathan	CAbilArmMagazine	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakACDeadlyCharge	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakACSoAMothershipV4BlackHole	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakACSummonDeathfleetTarget	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakEmpower	CAbilEffectInstant	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakKnockback	CAbilEffectTarget	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
AlarakRevive	CAbilRevive	mods/starcoop/starcoop.sc2mod/base.sc2data/gamedata/abildata.xml	C:\Users\22448\Downloads\重生虫心0.71汉化版（新）\reborn_workrepo\合作指挥官版起义狂潮\Mods\XM\XMZeratul.SC2Mod\Base.SC2Data\GameData\AbilData.xml
